企业名称,省份,城市,统一社会信用代码,法定代表人,企业类型,成立日期,注册资本,地址,邮箱,经营范围,网址,电话号码,电话号码（更多号码）
无锡锦华置业有限公司,江苏,无锡市,91320205MA1MRP8Q8Q,仇建辉,有限责任公司（法人独资）,2016-08-17,5000万人民币元,无锡市锡山区安镇街道东兴路北、胶南路西,lijialu@zldcgroup.com,"房地产开发;物业管理服务;企业管理咨询;工程咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88531836,15051771266；
无锡嘉腾置业有限公司,江苏,无锡市,91320206582333613P,裴丹,有限责任公司（法人独资）,2011-09-22,72000万人民币元,无锡市惠山区阳山镇新渎街1号,15371059801@163.com,"房地产开发、经营;建筑材料的销售;自有房产租赁;房产中介。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15371059801,0510-66726175；0510-85382221；
无锡广厦置业有限公司,江苏,无锡市,913202065537518595,许云东,有限责任公司,2010-04-02,50000万人民币元,无锡市惠山区惠山大道108号2-1201(地铁西漳站区),HSJF6868@qq.com,"房地产开发经营;商业用房出租;园区配套设施物业管理服务;经济信息咨询服务(不含投资咨询);利用自有资金对外投资;餐饮服务;食品销售;会议服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83591320,0510-83599682；
无锡嘉宝置业有限公司,江苏,无锡市,91320200798643194D,华玲燕,有限责任公司（法人独资）,2007-03-06,35000万人民币元,无锡市南长区红星路金星苑小区配套用房(红星路541号),jbzyyxgs@163.com,"房地产开发及经营(凭资质证书经营)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85451609,0510-85456109；13921227969；
无锡宜家购物中心有限公司,江苏,无锡市,91320205696779728A,丁晖,有限责任公司(外国法人独资),2009-11-27,18700万美元,无锡市锡山经济开发区团结中路3号,kelly.chen1@ikea.com,"纺织品、服装及日用品、文化、体育用品及器材(不含图书、报刊、音像制品)、金银饰品、珠宝(不含毛钻、裸钻)、汽车零配件、家用电器及电子产品、一类医疗器械、五金、家具及室内装修材料(不含油漆及其他危险品)、消防器材、花卉的零售;从事上述产品的佣金代理(不含拍卖)及进出口业务(以上商品进出口不涉及国营贸易管理商品,...",,0510-81167969,
无锡紫金置业有限公司,江苏,无锡市,913202113239697567,黄斌,有限责任公司（法人独资）,2014-12-17,17500万人民币元,无锡市滨湖区建筑西路777号A3幢19层,754554584@qq.com,"房地产开发与经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83305350,15961775842；
无锡明星置业有限公司,江苏,无锡市,913202066798105191,秦国金,有限责任公司(自然人独资),2008-08-26,21000万人民币元,无锡市惠山区堰桥街道西漳街12号,tyqinguojin@163.com,"房地产开发经营;物业管理;五金交电、建筑材料、金属材料、装饰装潢材料的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13914122220,18951515895；
无锡友谊置业有限公司,江苏,无锡市,9132020569788567XE,李静华,有限责任公司,2009-12-01,7940万人民币元,无锡市锡山经济开发区春晖中路66号,1052173138@qq.com,"房地产开发及经营(凭有效资质证书经营);物业管理;自有房屋租赁;房产信息咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18301867809,13395138795；0510-88262895；
无锡明瑞置业有限公司,江苏,无锡市,913202007974458821,CHENG ANTARES YING NAM,有限责任公司(台港澳法人独资),2007-01-30,1000万美元,锡山区羊尖镇工业园区服务配套区,fmingrui_wx@163.com,"从事无锡锡山区XDG-2007-67号地块住宅及配套商业设施的开发,经营本公司开发的房产及设施;物业管理,经济贸易咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88207262,
无锡新尚置业有限公司,江苏,无锡市,91320214722229878N,HOLINIER LUDOVIC FREDERIC PIERRE,有限责任公司(台港澳与境内合作),2000-07-03,6640万人民币元,无锡国家高新技术产业开发区长江路288号,wx01.stma@auchan.com.cn,"自建房屋的出租。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15861591635,13806188715；
无锡金洲置业有限公司,江苏,无锡市,913202065603179462,周建国,有限责任公司,2010-08-23,20000万人民币元,无锡市惠山区洛社镇新兴西路5号,59706765@qq.com,"房地产开发、经营;基础设施建设,自有资产对外投资,自有房屋租赁,水电安装,金属制品、纺织品、机械设备、电子产品、建筑材料的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83307612,0510-83309530；
无锡国信置业有限公司,江苏,无锡市,91320214669616413F,方云明,有限责任公司,2007-11-23,30000万人民币元,无锡市新吴区具区路和净慧西道岔口西南侧,2595126306@qq.com,"房地产开发经营;房屋租赁与维修;房地产信息咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88657876,
无锡星洲置业投资有限公司,江苏,无锡市,91320214MA1W8LCM5W,杨二观,有限责任公司(中外合资),2018-03-22,50000万人民币元,无锡新加坡工业园锡新二路1号,,"利用自有资金对房地产领域进行投资。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
上海城建置业无锡有限公司,江苏,无锡市,913202115593038705,袁继康,有限责任公司（法人独资）,2010-07-22,30000万人民币元,无锡蠡园开发区06-4地块写字楼(滴翠路100号)B幢10楼,SHCJZYWX@163.com,"房地产开发经营(凭有效资质证书经营);土地平整;基础设施建设;房地产项目策划、咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85502200,0510-85502650；
无锡丰茂置业有限公司,江苏,无锡市,91320205MA1N26GX94,张福定,有限责任公司(台港澳法人独资),2016-12-07,9800万美元,无锡市锡山经济技术开发区凤威路2号,,"房地产开发经营(不含别墅),物业管理(不含国家限制类、禁止类项目)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡宏普置业有限公司,江苏,无锡市,91320205749405798A,钱栋,有限责任公司（法人独资）,2003-06-05,40000万人民币元,江苏省无锡市锡山经济开发区商贸园区锡沪路以北,495067471@qq.com,"房产开发(不含限制类项目),经营本公司开发的房产。本公司开发的房产的物业管理服务;输配电及控制设备的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88258805,
无锡市崇安新城龙和置业有限公司,江苏,无锡市,91320200695485963Y,许崇刚,有限责任公司,2009-09-28,5000万人民币元,无锡市广泽路100号,545466802@qq.com,"按贰级标准从事房地产开发业务;利用自有资产对外投资;建筑装饰装修工程的施工、物业管理、房屋拆除(以上经营范围凭有效资质证书经营);国内贸易(不含国家限制及禁止类项目);家电维修;仓储服务;房屋租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82031539,
无锡鑫驰置业有限公司,江苏,无锡市,91320282302266912T,史息平,有限责任公司,2014-06-17,10000万人民币元,宜兴经济开发区袁桥路10号,646200358@qq.com,"房地产开发经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-87013780,
无锡苏源檀溪湾置业有限公司,江苏,无锡市,913202117473217266,何捷,有限责任公司（法人独资）,2003-03-19,5000万人民币元,无锡市滨湖区马山湖山路四号桥,wxdcxzrsb@redsun.com.cn,"房地产开发、经营(凭资质证书经营);房屋租赁服务;装饰装潢材料、水暖器材的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85996117,0510-85999922；0510-85996170；
无锡德佛置业有限公司,江苏,无锡市,,唐禹,有限责任公司,2014-05-04,5000万人民币元,无锡市惠山区惠山大道88号明都大厦9号门2006(地铁西漳站区),,"许可经营项目:房地产开发经营(上述范围凭有效许可证件经营)。一般经营项目:房地产中介服务,物业管理。",,,
无锡宏泰置业有限公司,江苏,无锡市,91320205074694893U,钱栋,有限责任公司（法人独资）,2013-07-11,25000万人民币元,无锡市锡山经济技术开发区商贸园区锡沪路以北,495067471@qq.com,"房产开发(不含限制类),经营本公司开发的房产。本公司开发房产的物业管理服务。(上述经营范围涉及专项审批的经批准后方可经营,涉及资质经营的凭有效资质证书经营)(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88258805,
无锡市鼎盛房地产置业有限公司,江苏,无锡市,91320203731766173K,顾维敏,有限责任公司,2001-09-17,100万人民币元,无锡市南长区五爱人家2号(408、409室),437572509@qq.com,"房屋信息服务、房产中介服务、经济信息咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://www.wxdszy.com,0510-82702869,0510-85058383；
无锡开隆置业有限公司,江苏,无锡市,91320206076324722Q,单文孝,有限责任公司,2013-08-16,12000万人民币元,无锡市惠山区惠山大道88号明都大厦1号门2207室(堰桥),404357261@QQ.com,"房地产开发、经营;物业管理服务;汽车销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88588166,0510-82417159；
无锡汇坚置业有限公司,江苏,无锡市,91320206675455046E,吴坚,有限责任公司,2008-05-13,5000万人民币元,无锡市惠山区无锡西站物流园区洛南大道6号汇坚国际工业原料城3-3005,675250712@qq.com,"房地产经营;商业用房出租;园区配套设施管理服务;机械设备、金属材料及其制品的销售;经济信息咨询服务;房地产开发。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88660312,0510-88088188；
无锡万健置业有限公司,江苏,无锡市,91320206768293138G,陈丽丽,有限责任公司,2004-12-21,8163.26万人民币元,无锡惠山经济开发区钱桥配套区(溪南),www.331765337@qq.com,"从事地号6303-137地块的房地产开发与经营;物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83296666,0510-82396666；0510-83509666；
无锡常发置业有限公司,江苏,无锡市,91320200797447597Y,潘国平,有限责任公司（法人独资）,2007-02-08,10000万人民币元,无锡市新欧风花园24-306,cfdc_wx@163.com,"房地产开发经营;物业管理;市政工程施工;装潢设计、施工;园林绿化施工;水利工程施工;建筑材料的销售;自有房屋的租赁;房产经纪。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://www.changfa.com/,0510-85728115,
无锡鑫磊置业有限公司,江苏,无锡市,91320200687177522A,陆清,有限责任公司,2009-03-30,2000万人民币元,无锡市槐古豪庭10-1,,"房地产开发与经营(凭有效资质证书经营);装饰装潢服务(不含资质);绿化服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13805114546,
无锡星洲置业发展有限公司,江苏,无锡市,913202136849304435,杨二观,有限责任公司（法人独资）,2009-01-23,50000万人民币元,无锡新吴区锡新二路1号二楼,wangruijuan@wsip.com.cn,"房地产开发经营;自营和代理各类商品和技术的进出口(国家限定企业经营或禁止进出口的商品和技术除外);企业管理咨询服务;房屋租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85281956,0510-85282393；
无锡地久置业有限公司,江苏,无锡市,91320000562981146A,王基平,有限责任公司(台港澳与境内合资),2010-11-17,14960万美元,无锡市清扬路333号1902室,fujie@forte.com.cn,"普通房地产开发和经营。物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85331288,15852797510；
无锡河畔置业有限公司,江苏,无锡市,913200006748740117,陈国邦,有限责任公司(台港澳法人独资),2008-06-12,4540万美元,无锡市南长区五星家园258号,zouxt@wharfwuxi.com,"房地产开发和经营。物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-81028102,
